sourceId,plannedAction,title,slug,path,parentSourceId,parentTitle,hierarchyDepth,plainTextWordCount,sourceModified,sourceUrl
4,create-page-draft-after-approval,"Mental Health Clinic in Louisville, KY",home,/,,,0,384,2026-06-29T18:21:06,http://100.70.222.25:8092/
6,create-page-draft-after-approval,"Teen Therapy in Louisville, KY",adolescent-counseling,/adolescent-counseling/,,,0,368,2026-06-29T18:21:06,http://100.70.222.25:8092/adolescent-counseling/
7,create-page-draft-after-approval,"Adult Counseling in Louisville, KY",adult-counseling,/adult-counseling/,,,0,376,2026-06-29T18:21:06,http://100.70.222.25:8092/adult-counseling/
8,create-page-draft-after-approval,"Anxiety and Depression Therapy in Louisville, KY",anxiety-depression-therapy,/anxiety-depression-therapy/,,,0,417,2026-06-29T18:21:06,http://100.70.222.25:8092/anxiety-depression-therapy/
9,create-page-draft-after-approval,Mental Health Articles from Louisville Mental Health Group,articles,/articles/,,,0,302,2026-06-29T18:21:06,http://100.70.222.25:8092/articles/
15,create-page-draft-after-approval,"Attachment Therapy in Louisville, KY",attachment-therapy,/attachment-therapy/,,,0,310,2026-06-29T18:21:07,http://100.70.222.25:8092/attachment-therapy/
16,create-page-draft-after-approval,"Mental Health Services in Bullitt County, KY",bullitt-county-ky,/bullitt-county-ky/,,,0,211,2026-06-29T18:21:07,http://100.70.222.25:8092/bullitt-county-ky/
17,create-page-draft-after-approval,"Mental Health Careers in Louisville, KY",careers,/careers/,,,0,171,2026-06-29T18:21:07,http://100.70.222.25:8092/careers/
18,create-page-draft-after-approval,"Targeted Case Management in Louisville, KY",case-management,/case-management/,,,0,429,2026-06-29T18:21:07,http://100.70.222.25:8092/case-management/
19,create-page-draft-after-approval,"Child Behavioral Therapy in Louisville, KY",child-behavioral-intervention,/child-behavioral-intervention/,,,0,376,2026-06-29T18:21:07,http://100.70.222.25:8092/child-behavioral-intervention/
20,create-page-draft-after-approval,"Child Counseling in Louisville, KY",child-counseling,/child-counseling/,,,0,236,2026-06-29T18:21:07,http://100.70.222.25:8092/child-counseling/
21,create-page-draft-after-approval,"Co-Parenting Services in Louisville, KY",co-parenting,/co-parenting/,,,0,353,2026-06-29T18:21:07,http://100.70.222.25:8092/co-parenting/
22,create-page-draft-after-approval,"Community-Based Mental Health Services in Louisville, KY",community-based-services,/community-based-services/,,,0,249,2026-06-29T18:21:07,http://100.70.222.25:8092/community-based-services/
