name,path,cost,status_code,status_message,result_counts
onpage-task-post-via-mcp,/v3/on_page/task_post,0.0135,20100,Task Created via mcp,
serp-organic-desktop-counseling Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-mental health services Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-therapist Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-individual therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-child therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-case management Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-community based mental health services Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-group therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-family therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-in home therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-mental health case management Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-trauma therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-desktop-anxiety therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-mobile-therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.002,20000,Ok.,1
serp-organic-desktop-play therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-mobile-mental health services Louisville KY,/v3/serp/google/organic/live/advanced,0.002,20000,Ok.,1
serp-organic-mobile-individual therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.002,20000,Ok.,1
serp-organic-desktop-depression therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.0035,20000,Ok.,1
serp-organic-mobile-counseling Louisville KY,/v3/serp/google/organic/live/advanced,0.002,20000,Ok.,1
serp-organic-mobile-child therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.002,20000,Ok.,1
serp-organic-mobile-family therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.002,20000,Ok.,1
serp-local-finder-therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
serp-organic-mobile-therapist Louisville KY,/v3/serp/google/organic/live/advanced,0.002,20000,Ok.,1
serp-local-finder-mental health services Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
serp-organic-mobile-group therapy Louisville KY,/v3/serp/google/organic/live/advanced,0.002,20000,Ok.,1
serp-local-finder-family therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
serp-local-finder-individual therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
serp-local-finder-child therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
serp-local-finder-counseling Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
serp-local-finder-group therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
serp-local-finder-case management Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
serp-local-finder-therapist Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
serp-local-finder-community based mental health services Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
serp-local-finder-mental health case management Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
serp-maps-mental health services Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
serp-maps-therapist Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
serp-local-finder-in home therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
serp-maps-therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
serp-maps-counseling Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
serp-maps-family therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
serp-maps-individual therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
serp-maps-child therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
serp-maps-group therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
serp-ai-mode-Who provides mental health services in Louisville KY?,/v3/serp/google/ai_mode/live/advanced,0.004,20000,Ok.,1
serp-ai-mode-Best therapy providers in Louisville KY for families and children,/v3/serp/google/ai_mode/live/advanced,0.004,20000,Ok.,1
serp-ai-mode-Which Louisville mental health providers offer case management?,/v3/serp/google/ai_mode/live/advanced,0.004,20000,Ok.,1
serp-ai-mode-Does Louisville Mental Health Group offer therapy in Louisville KY?,/v3/serp/google/ai_mode/live/advanced,0.004,20000,Ok.,1
labs-keyword-overview-core-agentic,/v3/dataforseo_labs/google/keyword_overview/live,0.01344,20000,Ok.,1
labs-search-intent-core-agentic,/v3/dataforseo_labs/google/search_intent/live,0.01524,20000,Ok.,1
