source,domain_from,url_from,url_to,anchor,rank,domain_from_rank,spam_score,is_new,is_lost,is_broken,url_to_status_code,page_from_status_code,first_seen,last_seen,lost_date,backlinks,broken_backlinks
backlinks-live-domain,www.bunity.com,https://www.bunity.com/louisville-mental-health-group,https://louisvillementalhealth.org/,Louisville Mental Health Group  Counseling & Mental Health,113,382,,False,False,True,520,200,2024-03-05 03:34:51 +00:00,2026-04-30 11:06:05 +00:00,,,
backlinks-live-domain,buzzakoo.com,https://buzzakoo.com/blogs/85191/Mental-Health-Services-in-Jeffersonville-KY-Combining-Therapy-and-Wellness,https://louisvillementalhealth.org/,Louisville Mental Health Group,78,330,,True,False,True,520,200,2026-01-19 18:42:32 +00:00,2026-01-19 18:42:32 +00:00,,,
backlinks-live-domain,buzzakoo.com,https://buzzakoo.com/blogs/85191/Mental-Health-Services-in-Jeffersonville-KY-Combining-Therapy-and-Wellness,https://louisvillementalhealth.org/jeffersonville-ky/,"Mental Health Services in Jeffersonville, KY",78,330,,True,False,False,,200,2026-01-19 18:42:32 +00:00,2026-01-19 18:42:32 +00:00,,,
backlinks-live-domain,www.therapysolutionsforkids.com,https://www.therapysolutionsforkids.com/provider/kylie-m-goudy,https://louisvillementalhealth.org/,Visit website,0,135,,False,False,True,520,200,2026-06-14 13:19:54 +00:00,2026-07-03 03:33:49 +00:00,,,
backlinks-live-domain,plumeriamarketing.com,https://plumeriamarketing.com/all/654/6.html,https://louisvillementalhealth.org/,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service louisvillementalhealth.org Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,0,56,70,True,False,True,520,200,2026-07-02 22:36:19 +00:00,2026-07-02 22:36:19 +00:00,,,
backlinks-live-domain,www.bizhwy.com,https://www.bizhwy.com/visit.php?biz=5453&state=Kentucky,https://louisvillementalhealth.org/,,0,354,,False,False,True,520,302,2024-04-28 23:05:15 +00:00,2026-06-26 19:03:15 +00:00,,,
backlinks-live-domain,screenshots.wiki,https://screenshots.wiki/report/92407,https://louisvillementalhealth.org/,louisvillementalhealth.org,0,268,50,False,False,True,520,200,2026-04-29 12:31:02 +00:00,2026-06-25 17:09:53 +00:00,,,
backlinks-live-domain,www.read.org.in,https://www.read.org.in/page-cda7182dea738560eccbe460ff92feb9.html,https://louisvillementalhealth.org/,louisvillementalhealth.org,0,78,60,True,False,True,520,200,2026-06-22 18:48:59 +00:00,2026-06-22 18:48:59 +00:00,,,
backlinks-live-domain,urls-shortener.eu,https://urls-shortener.eu/share/92407,https://louisvillementalhealth.org/,louisvillementalhealth.org,0,299,50,False,False,True,520,200,2026-02-26 19:12:27 +00:00,2026-06-21 20:17:02 +00:00,,,
backlinks-live-domain,sites.jake.eu,https://sites.jake.eu/share/92407,https://louisvillementalhealth.org/,louisvillementalhealth.org,0,263,50,False,False,True,520,200,2026-02-23 21:58:09 +00:00,2026-06-20 05:51:46 +00:00,,,
backlinks-live-domain,sites.jake.eu,https://sites.jake.eu/share/92408,https://louisvillementalhealth.org/,louisvillementalhealth.org,0,263,50,True,False,True,520,200,2026-06-19 16:59:41 +00:00,2026-06-19 16:59:41 +00:00,,,
backlinks-live-domain,way2check.cv,https://way2check.cv/page-6ce788f4b9fe2a5f2c5e584fbbae0e85.html,https://ns1.louisvillementalhealth.org/,,0,181,,False,True,False,,200,2026-01-26 11:38:18 +00:00,2026-06-17 17:18:06 +00:00,,,
backlinks-live-domain,way2check.cv,https://way2check.cv/page-deebe6340c7b68c47a609d4e6c8c50ae.html,https://ns6.louisvillementalhealth.org/,,0,181,,False,True,False,,200,2026-01-26 11:38:08 +00:00,2026-06-17 17:18:02 +00:00,,,
backlinks-live-domain,way2check.cv,https://way2check.cv/page-cda7182dea738560eccbe460ff92feb9.html,https://louisvillementalhealth.org/,louisvillementalhealth.org,0,175,60,False,False,True,520,200,2026-01-24 22:21:27 +00:00,2026-06-15 19:59:47 +00:00,,,
backlinks-live-domain,indeedforyou.eu,https://indeedforyou.eu/dark-side-links-dark-white-hat-link-building-5/,https://louisvillementalhealth.org/,JOIN OUR TELEGRAM https://t.me/s/darksidelinks,0,327,15,True,False,True,520,200,2026-06-14 03:08:33 +00:00,2026-06-14 03:08:33 +00:00,,,
backlinks-live-domain,sergechel.info,https://sergechel.info/list-513cfe348837a81c0d864ef27315d8dd,https://ns6.louisvillementalhealth.org/,ns6.louisvillementalhealth.org,0,241,60,False,False,False,,200,2025-02-09 03:45:17 +00:00,2026-06-13 19:27:33 +00:00,,,
backlinks-live-domain,sergechel.info,https://sergechel.info/list-c6082eb70997f071d737e7779cc29ee1,https://ns1.louisvillementalhealth.org/,ns1.louisvillementalhealth.org,0,241,60,False,False,False,,200,2025-02-09 03:31:02 +00:00,2026-06-13 19:22:12 +00:00,,,
backlinks-live-domain,bcrelx.com,https://bcrelx.com/mental-health-services-in-la-grange-ky-affordable-options-for-every-resident/,https://louisvillementalhealth.org/la-grange-ky/,"Mental health services in La Grange, KY",0,451,15,False,False,True,520,200,2026-02-11 15:41:47 +00:00,2026-06-13 05:13:56 +00:00,,,
backlinks-live-domain,bcrelx.com,https://bcrelx.com/mental-health-services-in-la-grange-ky-affordable-options-for-every-resident/,https://louisvillementalhealth.org/,Louisville Mental Health Group,0,451,15,False,False,True,520,200,2026-02-11 15:41:47 +00:00,2026-06-13 05:13:56 +00:00,,,
backlinks-live-domain,www.way2check.cv,https://www.way2check.cv/page-6ce788f4b9fe2a5f2c5e584fbbae0e85.html,https://ns1.louisvillementalhealth.org/,ns1.louisvillementalhealth.org,0,174,60,True,False,False,,200,2026-06-10 23:24:38 +00:00,2026-06-10 23:24:38 +00:00,,,
backlinks-live-domain,www.way2check.cv,https://www.way2check.cv/page-deebe6340c7b68c47a609d4e6c8c50ae.html,https://ns6.louisvillementalhealth.org/,ns6.louisvillementalhealth.org,0,174,60,True,False,False,,200,2026-06-10 23:13:02 +00:00,2026-06-10 23:13:02 +00:00,,,
backlinks-live-domain,ycm.info,https://ycm.info/ee22daa010065f825abef1b6e1a3c19f-l/,https://louisvillementalhealth.org/,louisvillementalhealth.org,0,0,50,True,False,True,520,200,2026-06-09 23:16:05 +00:00,2026-06-09 23:16:05 +00:00,,,
backlinks-live-domain,ycm.info,https://ycm.info/9b1ec92fe3439b68507486002bd93552-l/,https://ns1.louisvillementalhealth.org/,ns1.louisvillementalhealth.org,0,0,50,False,False,False,,200,2026-03-23 18:26:34 +00:00,2026-06-09 07:59:11 +00:00,,,
backlinks-live-domain,ycm.info,https://ycm.info/2e778c13e8967dcd2d01372299411d0d-l/,https://ns6.louisvillementalhealth.org/,ns6.louisvillementalhealth.org,0,0,50,False,False,False,,200,2026-03-23 18:13:59 +00:00,2026-06-09 07:44:36 +00:00,,,
backlinks-live-domain,shortenurls.eu,https://shortenurls.eu/share/92407,https://louisvillementalhealth.org/,louisvillementalhealth.org,0,277,50,True,False,True,520,200,2026-06-07 05:21:17 +00:00,2026-06-07 05:21:17 +00:00,,,
