domain,total_count,etv,pos_1,pos_2_3,pos_4_10,pos_11_20
lifestance.com,71273,1352390.037915986,2739,2954,11718,13387
bridgehaven.org,108,765.5971245393157,3,2,2,15
wellspringky.org,278,2070.015933902934,8,5,12,25
kentuckycounselingcenter.com,9034,30278.91835208796,39,65,497,1061
lctps.org,13,1.4304799810051918,0,0,0,0
creativefamilycounseling.org,312,4470.296786174178,10,13,32,44
bridgemindbody.com,205,1258.6622540988028,4,10,25,32
bestlifelouisville.com,189,663.5055819451809,0,0,15,27
brockfamilytherapycenter.com,52,65.09767952933908,0,1,4,15
sevencounties.org,2089,11729.744424320757,51,32,184,240
