domain,page,etv,keyword_count,pos_1,pos_2_3,pos_4_10,pos_11_20
wellspringky.org,https://wellspringky.org/,1818.5789752341807,81,4,1,7,11
wellspringky.org,https://wellspringky.org/housing/,61.32999983243644,59,1,1,0,3
wellspringky.org,https://wellspringky.org/who-we-are-2/,10.479000106453896,31,0,0,0,0
wellspringky.org,https://wellspringky.org/affordable-housing/,3.93299999833107,21,0,0,0,1
wellspringky.org,https://wellspringky.org/career-opportunities/,39.81495899707079,19,0,1,5,4
wellspringky.org,https://wellspringky.org/volunteer-opportunities/,6.3419999703764915,11,0,0,0,0
wellspringky.org,https://wellspringky.org/what-we-do/,3.8610000386834145,9,0,0,0,1
wellspringky.org,https://wellspringky.org/what-we-do/crisis-stabilization/,89.02799985557795,9,3,0,0,0
wellspringky.org,https://wellspringky.org/peer-support/,1.0960000082850456,6,0,0,0,1
wellspringky.org,https://wellspringky.org/supported-employment/,0.8819999992847443,6,0,0,0,0
wellspringky.org,https://wellspringky.org/contact-us/,14.969999924302101,4,0,1,0,1
wellspringky.org,https://wellspringky.org/outpatient/,1.2390000075101852,4,0,0,0,0
wellspringky.org,https://wellspringky.org/how-you-can-help/,1.0500000044703484,3,0,0,0,1
wellspringky.org,https://wellspringky.org/board-of-directors/,0.4829999953508377,3,0,0,0,0
wellspringky.org,https://wellspringky.org/wp-content/uploads/2024/12/Bridlewood-Crossing-Groundbreaking-News-Release-FINAL.pdf,0.3920000046491623,2,0,0,0,0
wellspringky.org,https://wellspringky.org/case-management/,14.579999923706055,1,0,1,0,0
wellspringky.org,https://wellspringky.org/wp-content/uploads/2025/03/2024-Wellspring-Annual-Rpt.pdf,0.10499999672174454,1,0,0,0,0
wellspringky.org,https://wellspringky.org/about-us/,0.1469999998807907,1,0,0,0,0
wellspringky.org,https://wellspringky.org/supportive-housing/,0.671999990940094,1,0,0,0,0
wellspringky.org,https://wellspringky.org/home/,0.08399999886751175,1,0,0,0,0
sevencounties.org,https://sevencounties.org/substance-use/recovery-housing/,410.6179984137416,187,0,0,13,14
sevencounties.org,https://sevencounties.org/substance-use/addiction-recovery-getting-started/,224.0065221786499,177,4,0,7,4
sevencounties.org,https://sevencounties.org/resources/blog/what-is-narcan-and-how-does-it-work/,495.73099967092276,112,0,0,2,23
sevencounties.org,https://sevencounties.org/,1710.7608980461955,97,10,1,7,12
sevencounties.org,https://sevencounties.org/resources/blog/depression-types-signs-symptoms/,208.02599938213825,80,0,0,0,0
sevencounties.org,https://sevencounties.org/resources/blog/coping-skills-for-mental-wellness/,210.07299499213696,73,0,0,5,2
sevencounties.org,https://sevencounties.org/resources/blog/understanding-down-syndrome-symptoms-and-causes/,2500.014970149845,70,0,0,26,12
sevencounties.org,https://sevencounties.org/resources/blog/qsm_quiz/psychosis-screener/,129.0010021403432,63,0,0,14,12
sevencounties.org,https://sevencounties.org/glossary/hydrocodone/,157.7939984574914,58,0,0,0,0
sevencounties.org,https://sevencounties.org/resources/blog/september-is-national-suicide-prevention-awareness-month-2/,124.59199988096952,50,0,0,3,4
sevencounties.org,https://sevencounties.org/developmental/supported-employment/,60.0440006069839,50,0,1,1,6
sevencounties.org,https://sevencounties.org/glossary/office-of-vocational-rehabilitation-ovr/,56.996001079678535,44,0,0,2,24
sevencounties.org,https://sevencounties.org/glossary/hallucinations/,276.19200048595667,43,0,0,0,0
sevencounties.org,https://sevencounties.org/resources/blog/what-is-national-recovery-month/,31.364999935030937,43,0,1,1,0
sevencounties.org,https://sevencounties.org/primary-care/,16.68499991670251,41,0,0,0,6
sevencounties.org,https://sevencounties.org/resources/blog/delta-8-delta-9-facts/,129.74799893051386,36,0,4,14,0
sevencounties.org,https://sevencounties.org/resources/professional-training-institute/,8.021000061184168,35,0,0,3,4
sevencounties.org,https://sevencounties.org/resources/blog/what-is-case-management/,128.32999861240387,35,0,1,7,4
sevencounties.org,https://sevencounties.org/mental-health/transcranial-magnetic-stimulation/,57.76400084793568,34,0,0,3,6
sevencounties.org,https://sevencounties.org/resources/blog/suicide-prevention-awareness-month/,144.29099761135876,33,0,0,0,0
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/rare-mental-disorders/,1505.4829864501953,474,4,8,17,19
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/how-to-control-sexual-desire-sex-talk/,297.0459988769144,362,0,1,7,58
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/,2150.833794798702,324,10,10,30,46
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/why-am-i-getting-sad/,112.84800072014332,256,0,0,0,2
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/optimist-vs-pessimist-vs-realist/,1989.6640156600624,206,6,5,33,85
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/how-to-read-peoples-emotions/,289.17299620993435,186,6,3,22,27
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/how-to-find-inner-peace/,199.49500161781907,166,0,0,6,57
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/how-to-understand-and-manage-overstimulation/,434.1329930797219,150,0,0,0,0
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/getting-over-a-heartbreak/,116.66699982061982,137,0,0,0,1
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/do-i-have-daddy-issues-the-real-psychology/,168.66000051051378,134,0,0,0,13
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/intermittent-explosive-disorder/,631.6170079521835,129,0,0,0,0
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/victim-mentality/,201.75500172562897,125,0,0,3,45
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/social-anhedonia/,76.03599843010306,124,0,0,5,22
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/regrets-after-a-midlife-crisis-make-peace-with-your-past/,37.402000000700355,111,0,0,1,10
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/what-is-a-labile-mood-and-how-do-i-cope-with-it/,5305.976990818977,110,1,3,50,25
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/self-actualization-what-does-it-mean-and-how-to-achieve-it/,813.3989942073822,109,0,0,0,0
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/do-dreams-mean-anything/,196.9460026025772,100,0,0,0,6
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/8-signs-you-have-anger-issues-and-overcoming-them/,113.73699981346726,99,0,0,2,22
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/how-to-deal-with-overly-dramatic-people/,104.33500061556697,88,0,1,14,27
kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/why-does-it-feel-good-to-cry/,71.52300046756864,85,0,0,1,2
lctps.org,https://www.lctps.org/,1.1339999809861183,10,0,0,0,0
lctps.org,https://www.lctps.org/queermentalhealth,0.2964800000190735,3,0,0,0,0
lctps.org,http://www.lctps.org/,0,0,0,0,0,0
bestlifelouisville.com,https://www.bestlifelouisville.com/,69.16258049756289,66,0,0,4,11
bestlifelouisville.com,https://www.bestlifelouisville.com/grounding-technique-54321/,542.9890011548996,22,0,0,6,5
bestlifelouisville.com,https://www.bestlifelouisville.com/3-steps-to-starting-your-self-care-routine-the-right-way/,2.7390000000596046,18,0,0,0,1
bestlifelouisville.com,https://www.bestlifelouisville.com/case-management/,5.6490000411868095,15,0,0,1,1
bestlifelouisville.com,https://www.bestlifelouisville.com/art-therapy-benefits/,0.8449999988079071,8,0,0,0,1
bestlifelouisville.com,https://www.bestlifelouisville.com/children-teenagers-therapy/,2.772000014781952,8,0,0,0,0
bestlifelouisville.com,https://www.bestlifelouisville.com/play-therapy/,2.5829999670386314,7,0,0,0,0
bestlifelouisville.com,https://www.bestlifelouisville.com/therapy/,6.555999957025051,7,0,0,0,1
bestlifelouisville.com,https://www.bestlifelouisville.com/art-therapy/,2.374000057578087,6,0,0,1,1
bestlifelouisville.com,https://www.bestlifelouisville.com/improve-your-relationship/,17.006000123918056,4,0,0,2,2
bestlifelouisville.com,https://www.bestlifelouisville.com/our-team/,0.41999999433755875,4,0,0,0,0
bestlifelouisville.com,https://www.bestlifelouisville.com/groups-workshops/,0.27299999445676804,3,0,0,0,0
bestlifelouisville.com,https://www.bestlifelouisville.com/medication-management/,0.6509999930858612,3,0,0,0,0
bestlifelouisville.com,https://www.bestlifelouisville.com/pricing/,0.14999999850988388,2,0,0,0,1
bestlifelouisville.com,https://www.bestlifelouisville.com/about-frankie-jones/,0.2939999997615814,2,0,0,0,0
bestlifelouisville.com,https://www.bestlifelouisville.com/contact/,1.1160000190138817,2,0,0,0,1
bestlifelouisville.com,https://www.bestlifelouisville.com/about-eric/,4.206000082194805,2,0,0,1,0
bestlifelouisville.com,https://www.bestlifelouisville.com/reentry/,0.07199999690055847,1,0,0,0,1
bestlifelouisville.com,https://www.bestlifelouisville.com/asian-american-mental-health/,0.08399999886751175,1,0,0,0,0
bestlifelouisville.com,https://www.bestlifelouisville.com/about-william-mcbride/,1.0080000162124634,1,0,0,0,0
bridgehaven.org,https://www.bridgehaven.org/,751.4791241660714,84,3,1,2,4
bridgehaven.org,https://www.bridgehaven.org/peer-support-training/,12.417000383138657,12,0,1,0,11
bridgehaven.org,https://www.bridgehaven.org/supported-employment-services/,0.5879999995231628,4,0,0,0,0
bridgehaven.org,https://www.bridgehaven.org/careers/,0.5669999867677689,3,0,0,0,0
bridgehaven.org,https://www.bridgehaven.org/upcoming-events/,0.42000000178813934,3,0,0,0,0
bridgehaven.org,https://www.bridgehaven.org/wp-content/uploads/2024/03/Annual-Report-2020-2021.pdf,0.12600000202655792,2,0,0,0,0
brockfamilytherapycenter.com,https://www.brockfamilytherapycenter.com/,62.012679535895586,35,0,1,4,11
brockfamilytherapycenter.com,https://www.brockfamilytherapycenter.com/brock-family-therapy-team/angela-brock,0.8500000163912773,3,0,0,0,1
brockfamilytherapycenter.com,https://www.brockfamilytherapycenter.com/locations/brookridge-village,0.2939999923110008,3,0,0,0,0
brockfamilytherapycenter.com,https://www.brockfamilytherapycenter.com/locations/park-plaza,0.5789999961853027,3,0,0,0,1
brockfamilytherapycenter.com,https://www.brockfamilytherapycenter.com/brock-family-therapy-team,0.8789999932050705,3,0,0,0,2
brockfamilytherapycenter.com,https://www.brockfamilytherapycenter.com/docs/consent-form.pdf,0.3569999933242798,3,0,0,0,0
brockfamilytherapycenter.com,https://www.brockfamilytherapycenter.com/locations/stony-spring,0.06300000101327896,1,0,0,0,0
brockfamilytherapycenter.com,https://www.brockfamilytherapycenter.com/contact,0.06300000101327896,1,0,0,0,0
bridgemindbody.com,https://www.bridgemindbody.com/,1240.1632539629936,143,4,10,23,22
bridgemindbody.com,https://www.bridgemindbody.com/our-team,5.973000016063452,25,0,0,0,6
bridgemindbody.com,https://www.bridgemindbody.com/contact-us,2.592000015079975,13,0,0,0,1
bridgemindbody.com,https://www.bridgemindbody.com/academy,7.075000114738941,9,0,0,2,2
bridgemindbody.com,https://www.bridgemindbody.com/our-services,0.8399999886751175,3,0,0,0,0
bridgemindbody.com,https://www.bridgemindbody.com/our-services/training-for-mental-health-professionals,0.1889999955892563,2,0,0,0,0
bridgemindbody.com,https://www.bridgemindbody.com/advocacy,0.12600000202655792,2,0,0,0,0
bridgemindbody.com,https://www.bridgemindbody.com/events,0.10499999672174454,1,0,0,0,0
bridgemindbody.com,https://www.bridgemindbody.com/decolonizing,0.23100000619888306,1,0,0,0,0
bridgemindbody.com,https://www.bridgemindbody.com/about-us,0.2939999997615814,1,0,0,0,0
