competitor_key,classification,serp_mentions,local_mentions,example_title,example_domain,example_url
psychologytoday.com,directory,479,17,"Find Therapists and Psychologists in Louisville, KY",psychologytoday.com,https://www.psychologytoday.com/us/therapists/ky/louisville
people also search for,provider_or_system,268,0,People also search for,,
uoflhealth.org,health_system_or_cmha,104,67,"Anam Mukhtar, OTD, OTR/L",uoflhealth.org,https://uoflhealth.org/provider/anam-mukhtar-occupational-therapy/?utm_source=GMBSocialClimb&utm_medium=AnamMukhtar%2COTD%2COTR%2FL
kentuckycounselingcenter.com,provider_or_system,94,18,Kentucky Counseling Center,kentuckycounselingcenter.com,http://kentuckycounselingcenter.com/
lifestance.com,provider_or_system,82,11,"Find Therapists & Therapy Clinicians in Louisville, Kentucky",lifestance.com,https://lifestance.com/provider/therapist/ky/louisville/
youtube.com,provider_or_system,77,0,Child psychologist explains how kids' therapy works - and if ...,youtube.com,https://www.youtube.com/watch?v=Mkx_hRxWRzE
thriveworks.com,provider_or_system,76,18,"Louisville, KY Therapy & Counseling: Find a Therapist",thriveworks.com,https://thriveworks.com/louisville-counseling/
facebook.com,provider_or_system,69,0,Kids Center for Pediatric Therapies | Louisville KY,facebook.com,https://www.facebook.com/KidsCenterKY/
creativefamilycounseling.org,provider_or_system,68,5,"Creative Family Counseling | Child, Teen & Family Therapists ...",creativefamilycounseling.org,https://creativefamilycounseling.org/
louisvillegracepsychological.com,provider_or_system,64,5,Grace Psychological Services: Best Therapists in Louisville,louisvillegracepsychological.com,https://louisvillegracepsychological.com/
sevencounties.org,health_system_or_cmha,62,27,Seven Counties Services - Child & Family Downtown,sevencounties.org,https://sevencounties.org/?utm_source=Google_Business&utm_medium=Organic_Search&utm_campaign=914_East_Broadway
bestlifelouisville.com,provider_or_system,60,15,"Best Life Mental Health Services, LLC | Therapy in Louisville, KY",bestlifelouisville.com,https://www.bestlifelouisville.com/
bridgemindbody.com,provider_or_system,57,23,Bridge Counseling & Wellness | Counseling & Therapy Services,bridgemindbody.com,https://www.bridgemindbody.com/
baptisthealth.com,health_system_or_cmha,56,6,In-Home Physical Therapy - Baptist Health,baptisthealth.com,https://www.baptisthealth.com/care-services/services/home-care/services/therapy-and-rehabilitation/inhome-physical-therapy
renewcounselingservices.org,provider_or_system,55,21,"Renew Counseling Services | Online Therapy | Louisville, KY",renewcounselingservices.org,https://www.renewcounselingservices.org/
innovativefamilytherapy.com,provider_or_system,51,2,"Licensed Therapists Louisville, KY | Mental Health Counseling",innovativefamilytherapy.com,https://innovativefamilytherapy.com/
nortonhealthcare.com,health_system_or_cmha,51,6,Norton Genetic Counseling Services,nortonhealthcare.com,https://nortonhealthcare.com/services-and-conditions/cancer-care/patient-resources/genetic-counseling-and-testing/
newhopecounselingsite.com,provider_or_system,42,0,"New Hope Counseling, Licensed Therapists Louisville Kentucky",newhopecounselingsite.com,https://newhopecounselingsite.com/
louisvillehealthandhealing.com,provider_or_system,42,6,Louisville Health & Healing: Private Therapy Louisville KY,louisvillehealthandhealing.com,https://www.louisvillehealthandhealing.com/
namilouisville.org,provider_or_system,42,6,NAMI Louisville,namilouisville.org,http://www.namilouisville.org/
mindivetherapy.com,provider_or_system,39,25,Therapist for Children Louisville KY,mindivetherapy.com,http://mindivetherapy.com/therapist-for-children-louisville-ky/
