keyword,point,surface,best_lmhg_rank,lmhg_result_count,titles
group therapy Louisville KY,shively,maps,not found,0,
group therapy Louisville KY,unknown,maps,not found,0,
case management Louisville KY,unknown,maps,not found,0,
case management Louisville KY,downtown,maps,not found,0,
child therapy Louisville KY,unknown,maps,not found,0,
therapist Louisville KY,st,maps,not found,0,
therapy Louisville KY,jeffersontown,maps,not found,0,
in home therapy Louisville KY,unknown,maps,not found,0,
therapist Louisville KY,unknown,maps,not found,0,
child therapy Louisville KY,jeffersontown,maps,not found,0,
community based mental health services Louisville KY,unknown,maps,2,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
mental health services Louisville KY,unknown,maps,not found,0,
child therapy Louisville KY,office,maps,1,2,"Tyler Horn, LCSW | Louisville Mental Health Group"
case management Louisville KY,jeffersontown,maps,not found,0,
counseling Louisville KY,unknown,maps,not found,0,
group therapy Louisville KY,jeffersontown,maps,not found,0,
in home therapy Louisville KY,office,maps,1,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
group therapy Louisville KY,office,maps,1,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
counseling Louisville KY,shively,maps,not found,0,
child therapy Louisville KY,unknown,maps,not found,0,
mental health services Louisville KY,unknown,maps,1,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
child therapy Louisville KY,shively,maps,not found,0,
group therapy Louisville KY,unknown,maps,not found,0,
mental health services Louisville KY,unknown,maps,not found,0,
community based mental health services Louisville KY,st,maps,not found,0,
counseling Louisville KY,st,maps,not found,0,
therapist Louisville KY,unknown,maps,not found,0,
therapy Louisville KY,shively,maps,not found,0,
mental health services Louisville KY,unknown,maps,not found,0,
mental health services Louisville KY,office,maps,1,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
case management Louisville KY,unknown,maps,1,1,Louisville Mental Health Group
family therapy Louisville KY,downtown,maps,not found,0,
case management Louisville KY,unknown,maps,not found,0,
therapist Louisville KY,unknown,maps,2,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
case management Louisville KY,shively,maps,not found,0,
family therapy Louisville KY,shively,maps,not found,0,
family therapy Louisville KY,jeffersontown,maps,not found,0,
therapy Louisville KY,office,maps,2,2,"Tyler Horn, LCSW | Louisville Mental Health Group"
therapist Louisville KY,jeffersontown,maps,not found,0,
family therapy Louisville KY,st,maps,not found,0,
community based mental health services Louisville KY,unknown,maps,not found,0,
child therapy Louisville KY,unknown,maps,1,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
therapy Louisville KY,downtown,maps,not found,0,
case management Louisville KY,unknown,maps,not found,0,
family therapy Louisville KY,unknown,maps,not found,0,
community based mental health services Louisville KY,office,maps,1,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
family therapy Louisville KY,unknown,maps,2,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
mental health services Louisville KY,st,maps,not found,0,
therapy Louisville KY,unknown,maps,not found,0,
community based mental health services Louisville KY,shively,maps,not found,0,
community based mental health services Louisville KY,downtown,maps,not found,0,
group therapy Louisville KY,unknown,maps,1,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
in home therapy Louisville KY,st,maps,not found,0,
counseling Louisville KY,office,maps,1,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
therapist Louisville KY,office,maps,2,2,"Tyler Horn, LCSW | Louisville Mental Health Group"
mental health services Louisville KY,unknown,maps,not found,0,
mental health services Louisville KY,downtown,maps,not found,0,
therapy Louisville KY,unknown,maps,not found,0,
community based mental health services Louisville KY,unknown,maps,not found,0,
therapy Louisville KY,unknown,maps,not found,0,
mental health services Louisville KY,jeffersontown,maps,not found,0,
case management Louisville KY,unknown,maps,not found,0,
in home therapy Louisville KY,jeffersontown,maps,not found,0,
therapist Louisville KY,downtown,maps,not found,0,
therapist Louisville KY,unknown,maps,not found,0,
community based mental health services Louisville KY,unknown,maps,not found,0,
in home therapy Louisville KY,unknown,maps,not found,0,
counseling Louisville KY,jeffersontown,maps,not found,0,
counseling Louisville KY,unknown,maps,2,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
family therapy Louisville KY,office,maps,2,2,"Tyler Horn, LCSW | Louisville Mental Health Group"
family therapy Louisville KY,unknown,maps,not found,0,
in home therapy Louisville KY,downtown,maps,not found,0,
counseling Louisville KY,unknown,maps,not found,0,
family therapy Louisville KY,unknown,maps,not found,0,
community based mental health services Louisville KY,jeffersontown,maps,not found,0,
therapist Louisville KY,shively,maps,not found,0,
counseling Louisville KY,downtown,maps,not found,0,
case management Louisville KY,office,maps,1,1,Louisville Mental Health Group
family therapy Louisville KY,unknown,maps,not found,0,
counseling Louisville KY,unknown,maps,not found,0,
therapist Louisville KY,unknown,maps,not found,0,
therapy Louisville KY,unknown,maps,2,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
child therapy Louisville KY,unknown,maps,not found,0,
therapy Louisville KY,st,maps,not found,0,
community based mental health services Louisville KY,unknown,maps,not found,0,
child therapy Louisville KY,unknown,maps,not found,0,
in home therapy Louisville KY,unknown,maps,1,2,"Louisville Mental Health Group | Tyler Horn, LCSW"
mental health services Louisville KY,shively,maps,not found,0,
group therapy Louisville KY,downtown,maps,not found,0,
child therapy Louisville KY,st,maps,not found,0,
in home therapy Louisville KY,shively,maps,not found,0,
in home therapy Louisville KY,unknown,maps,not found,0,
therapy Louisville KY,unknown,maps,not found,0,
group therapy Louisville KY,st,maps,not found,0,
child therapy Louisville KY,downtown,maps,not found,0,
counseling Louisville KY,unknown,maps,not found,0,
in home therapy Louisville KY,unknown,maps,not found,0,
group therapy Louisville KY,unknown,maps,not found,0,
group therapy Louisville KY,unknown,maps,not found,0,
case management Louisville KY,st,maps,not found,0,
