keyword,point,surface,type,rank_group,rank_absolute,title,domain,url,cid,rating_value,rating_votes,is_lmhg
case management Louisville KY,unknown,maps,local_pack,1,1,Home Instead,homeinstead.com,https://www.homeinstead.com/home-care/usa/ky/louisville/269/?utm_source=google&utm_medium=organic&utm_campaign=google_organic_businesslisting_y,302489691383649574,4.4,54,0
case management Louisville KY,downtown,maps,maps_search,1,1,Credit Clearing House-America,cchamerica.com,http://www.cchamerica.com/,10024348368416173016,1.6,40,0
case management Louisville KY,downtown,maps,maps_search,2,2,VOA | Volunteers of America Mid-States,voamid.org,https://www.voamid.org/,15563006544786230499,4.2,31,0
case management Louisville KY,downtown,maps,maps_search,3,3,Crisis & Information Center,,,15546629347861497175,5,2,0
case management Louisville KY,downtown,maps,maps_search,4,4,Codes & Regulations,louisvilleky.gov,http://louisvilleky.gov/,12976089744363728255,3.1,16,0
therapist Louisville KY,st,maps,maps_search,1,1,Derby City Counseling,derbycitycounseling.com,http://derbycitycounseling.com/,13494564945055058624,5,12,0
therapist Louisville KY,st,maps,maps_search,2,2,Thriveworks Counseling & Therapy Louisville,thriveworks.com,https://thriveworks.com/louisville-counseling/?utm_source=GMBlisting&utm_medium=organic&field:8499441=GMB,12344539005794056131,5,2,0
therapist Louisville KY,st,maps,maps_search,3,3,Mindive Louisville,mindivetherapy.com,https://mindivetherapy.com/,14864696548445856057,5,6,0
therapist Louisville KY,st,maps,maps_search,4,4,Banta Counseling LLC,bantacounseling.com,http://www.bantacounseling.com/,14361954784997208910,4.7,13,0
therapist Louisville KY,st,maps,maps_search,5,5,"Chris Davis, MSSW, LMFT",mindivetherapy.com,http://mindivetherapy.com/,17205182146927484071,5,3,0
therapist Louisville KY,st,maps,maps_search,6,6,"Nicola E Foreman, LCSW",foremancounseling.com,http://www.foremancounseling.com/,13041276627030282739,5,1,0
therapist Louisville KY,st,maps,maps_search,7,7,Awaken Counseling,awakencounselingky.com,https://www.awakencounselingky.com/contact,15240253339951602091,5,2,0
therapist Louisville KY,st,maps,maps_search,8,8,Northstar Counseling Center,northstarcounselingcenter.com,http://northstarcounselingcenter.com/,8715087175106616123,4.7,12,0
therapist Louisville KY,st,maps,maps_search,9,9,"Julie Ciriano, LCSW",myinnermoststrength.com,http://myinnermoststrength.com/,16584704834729980328,5,2,0
therapist Louisville KY,st,maps,maps_search,10,10,Hollie Colwick Counseling,holliecolwickcounseling.com,http://www.holliecolwickcounseling.com/,14049404355145351635,5,4,0
therapist Louisville KY,st,maps,maps_search,11,11,Steelsmith Psychology,steelsmithpsychology.com,https://www.steelsmithpsychology.com/,17085944561166501043,5,1,0
therapist Louisville KY,st,maps,maps_search,12,12,"Turning Leaf Counseling/ Rachel Murrell, LCSW",louisville-therapy.com,http://www.louisville-therapy.com/,6123479053591101813,4.5,8,0
therapist Louisville KY,st,maps,maps_search,13,13,Kind Mind Neurofeedback & Counseling,morgan-mckinley.clientsecure.me,https://morgan-mckinley.clientsecure.me/,559282850860307832,5,2,0
therapist Louisville KY,st,maps,maps_search,14,14,"Renew Counseling, LLC",renewcounselingservices.org,https://renewcounselingservices.org/,17982171571561174484,4.4,13,0
therapist Louisville KY,st,maps,maps_search,15,15,Louisville Expressive Therapies,louisvilleexpressivetherapies.com,http://louisvilleexpressivetherapies.com/,8014489888291011624,5,3,0
therapist Louisville KY,st,maps,maps_search,16,16,Kate LaJoie Psychological Services,psychologytoday.com,https://www.psychologytoday.com/us/therapists/kate-r-lajoie-louisville-ky/925848,9972492604015228462,4.4,7,0
therapist Louisville KY,st,maps,maps_search,17,17,"Peace of Mind Psychiatry, PLLC",peaceofmindpsych.net,https://www.peaceofmindpsych.net/,11975158110609104231,4.5,25,0
therapist Louisville KY,st,maps,maps_search,18,18,Deeper Roots Counseling,deeperrootscounselingmft.com,https://deeperrootscounselingmft.com/contact-us,13712906799962113448,5,1,0
therapist Louisville KY,st,maps,maps_search,19,19,Child & Adolescent Psychological Evaluations,mattlowrylpp.com,http://mattlowrylpp.com/,14850049774580064878,5,2,0
therapist Louisville KY,st,maps,maps_search,20,20,Cheryl Ades LCSW Inc,,,18197576725844627263,3.7,3,0
therapy Louisville KY,jeffersontown,maps,maps_paid_item,1,1,Olive Branch Family Counseling,,,,4.9,9,0
therapy Louisville KY,jeffersontown,maps,maps_search,1,2,Havenpoint Counseling,havenpointcounseling.com,https://www.havenpointcounseling.com/,2722398005986571156,5,6,0
therapy Louisville KY,jeffersontown,maps,maps_search,2,3,Baptist Health Physical Therapy - Jeffersontown,baptisthealth.com,https://www.baptisthealth.com/locations/physical-therapy-jeffersontown?utm_source=google&utm_medium=organic&utm_content=gbp-website&utm_campaign=033-loc-gbp-listing,7002421356813445603,5,1,0
therapy Louisville KY,jeffersontown,maps,maps_search,3,4,Tranquil Gardens Massage,,,8580388472756350793,4.4,24,0
therapist Louisville KY,unknown,maps,local_pack,1,1,"Improved Dynamics ABA - Louisville, KY",improveddynamicsaba.com,https://improveddynamicsaba.com/,5099960698760385780,5,8,0
therapist Louisville KY,unknown,maps,local_pack,2,2,Steps Behavioral Care,,,1753429238079149891,,,0
therapist Louisville KY,unknown,maps,local_pack,3,3,Cardinal Family Care,cardinalfamilycare.com,https://www.cardinalfamilycare.com/,17887780695374312637,4.8,1300,0
therapist Louisville KY,unknown,maps,local_pack,4,4,"Sheila L. Kelly, LMT, Myofascial Release Therapist",,,3806980677629992999,,,0
child therapy Louisville KY,jeffersontown,maps,maps_search,1,1,Havenpoint Counseling,havenpointcounseling.com,https://www.havenpointcounseling.com/,2722398005986571156,5,6,0
community based mental health services Louisville KY,unknown,maps,local_pack,1,1,"1st Priority Healthcare, LLC",1stpriorityhealthcare.com,http://www.1stpriorityhealthcare.com/,5814388627300367504,3.5,8,0
community based mental health services Louisville KY,unknown,maps,local_pack,2,2,Louisville Mental Health Group,louisvillementalhealth.org,https://louisvillementalhealth.org/,2768315829466915400,4.4,19,1
