keyword,surface,type,rank_group,rank_absolute,title,domain,url,phone,cid,rating_value,rating_votes,is_lmhg
family therapy Louisville KY,organic,local_pack,1,1,Kentucky Counseling Center,kentuckycounselingcenter.com,http://kentuckycounselingcenter.com/,(855) 591-0092,12572663660737329637,4.6,605,0
family therapy Louisville KY,organic,local_pack,2,2,Steere Family Therapy,louisvillefamilytherapy.com,http://louisvillefamilytherapy.com/,(502) 295-5008,2787614966230724216,5,1,0
family therapy Louisville KY,organic,local_pack,3,3,Olive Branch Family Counseling,olivebranchfamilycounseling.com,http://www.olivebranchfamilycounseling.com/,(502) 653-2228,15906099659231562543,4.9,9,0
family therapy Louisville KY,organic,organic,1,4,"Creative Family Counseling | Child, Teen & Family Therapists ...",creativefamilycounseling.org,https://creativefamilycounseling.org/,,,,,0
family therapy Louisville KY,organic,organic,2,5,Brock Family Therapy Center | Louisville Family Therapy and ...,brockfamilytherapycenter.com,https://www.brockfamilytherapycenter.com/,,,,,0
family therapy Louisville KY,organic,organic,3,6,"Find Family Counseling and Therapists in Louisville, KY",psychologytoday.com,https://www.psychologytoday.com/us/therapists/ky/louisville?category=family-therapy,,,,,0
family therapy Louisville KY,organic,organic,4,8,Haven Family Counseling,boysandgirlshaven.org,https://boysandgirlshaven.org/programs/haven-family-counseling/,,,,,0
family therapy Louisville KY,organic,organic,5,9,"Licensed Therapists Louisville, KY | Mental Health Counseling",innovativefamilytherapy.com,https://innovativefamilytherapy.com/,,,,,0
family therapy Louisville KY,organic,organic,6,10,"Family Counseling | Groupworks | Louisville, KY",groupworksky.com,https://groupworksky.com/family-counseling,,,,,0
family therapy Louisville KY,organic,organic,7,11,Family Counseling,meridianbhservices.com,https://meridianbhservices.com/family-counseling/,,,,,0
family therapy Louisville KY,organic,organic,8,12,Welcome to Steere Family Therapy | Louisville Family Therapy ...,louisvillefamilytherapy.com,https://louisvillefamilytherapy.com/,,,,,0
family therapy Louisville KY,organic,organic,9,13,"Find Family Therapy in Louisville, Kentucky",lifestance.com,https://lifestance.com/services/family-therapy/ky/louisville/,,,,,0
family therapy Louisville KY,organic,organic,10,15,"Visit Our Louisville, KY Campus",creativefamilycounseling.org,https://creativefamilycounseling.org/louisville-ky-campus/,,,,,0
family therapy Louisville KY,organic,organic,11,16,"TOP 10 BEST Family Therapist in Louisville, KY",yelp.com,https://www.yelp.com/search?find_desc=Family+Therapist&find_loc=Louisville%2C+KY,,,,,0
family therapy Louisville KY,organic,organic,12,17,The Brock Family Therapy Center Team,brockfamilytherapycenter.com,https://www.brockfamilytherapycenter.com/brock-family-therapy-team,,,,,0
family therapy Louisville KY,organic,organic,13,18,"Family Relationships Therapists in Louisville, Kentucky",sondermind.com,https://www.sondermind.com/provider-directory/sta-ky/cty-louisville/spc-family%20relationships.tap-interpersonal%20psychotherapy,,,,,0
family therapy Louisville KY,organic,organic,14,19,"Family Therapy in Louisville, KY • Find Help",thriveworks.com,https://thriveworks.com/louisville-counseling/family-counseling/,,,,,0
family therapy Louisville KY,organic,organic,15,20,Family Therapy Services - Louisville,creativefamilycounseling.org,https://creativefamilycounseling.org/family-therapy/,,,,,0
family therapy Louisville KY,organic,organic,16,21,"20 Best Family and Marriage Counselors Near Louisville, KY",healthgrades.com,https://www.healthgrades.com/family-marriage-counseling-directory/ky-kentucky/louisville,,,,,0
family therapy Louisville KY,organic,organic,17,22,"Louisville, KY, Family Counseling Therapists",therapist.com,https://therapist.com/us/kentucky/louisville/?category=family-counseling,,,,,0
family therapy Louisville KY,organic,organic,18,23,"Kelly Family Therapy | Therapy for Anxiety, Perfectionism ...",kellyfamilytherapy.com,https://www.kellyfamilytherapy.com/,,,,,0
family therapy Louisville KY,organic,organic,19,24,"Haven Family Counseling, Louisville, KY, 40218",psychologytoday.com,https://www.psychologytoday.com/us/therapists/haven-family-counseling-louisville-ky/763897,,,,,0
individual therapy Louisville KY,local_finder,local_pack,1,1,Kentucky Counseling Center,kentuckycounselingcenter.com,http://kentuckycounselingcenter.com/,(855) 591-0092,12572663660737329637,4.6,605,0
individual therapy Louisville KY,local_finder,local_pack,2,2,Evolved Counseling,evolvedcounselingcenter.com,https://evolvedcounselingcenter.com/,(502) 689-9952,722961778310681613,4.6,67,0
