keyword,surface,best_lmhg_rank,lmhg_result_count,titles,urls
anxiety therapy Louisville KY,organic_desktop_depth100,>100,0,,
anxiety therapy Louisville KY,organic_mobile_depth100,>100,0,,
case management Louisville KY,organic_desktop_depth100,4,1,Case Management,https://louisvillementalhealth.org/case-management/
case management Louisville KY,organic_mobile_depth100,5,1,Case Management,https://louisvillementalhealth.org/case-management/
child therapy Louisville KY,organic_desktop_depth100,39,1,Child Therapy Service,https://louisvillementalhealth.org/child-therapy/
child therapy Louisville KY,organic_mobile_depth100,38,1,Child Therapy Service,https://louisvillementalhealth.org/child-therapy/
community based mental health services Louisville KY,organic_desktop_depth100,6,2,"Louisville Mental Health Group: Mental Health Clinic In ... | Personalized Mental Health Services in Prospect, KY",https://louisvillementalhealth.org/ | https://louisvillementalhealth.org/prospect-ky/
community based mental health services Louisville KY,organic_mobile_depth100,4,4,"Louisville Mental Health Group: Mental Health Clinic In Louisville | Mental Health & Therapy Services in Jeffersontown, KY | Personalized Mental Health Services in Prospect, KY | Our Group Therapy Service",https://louisvillementalhealth.org/ | https://louisvillementalhealth.org/jeffersontown-ky/ | https://louisvillementalhealth.org/prospect-ky/ | https://louisvillementalhealth.org/group-therapy/
counseling Louisville KY,organic_desktop_depth100,56,1,Louisville Mental Health Group: Mental Health Clinic In ...,https://louisvillementalhealth.org/
counseling Louisville KY,organic_mobile_depth100,58,1,Louisville Mental Health Group: Mental Health Clinic In Louisville,https://louisvillementalhealth.org/
depression therapy Louisville KY,organic_desktop_depth100,23,1,Louisville Mental Health Group: Mental Health Clinic In ...,https://louisvillementalhealth.org/
depression therapy Louisville KY,organic_mobile_depth100,>100,0,,
family therapy Louisville KY,organic_desktop_depth100,40,2,Family Court | Louisville Mental Health ... | Our Family Therapy Service,https://louisvillementalhealth.org/family-court/ | https://louisvillementalhealth.org/family-therapy/
family therapy Louisville KY,organic_mobile_depth100,38,3,Family Court | Louisville Mental Health ... | Our Family Therapy Service,https://louisvillementalhealth.org/family-court/ | https://louisvillementalhealth.org/family-therapy/
group therapy Louisville KY,organic_desktop_depth100,3,6,"Louisville Mental Health Group | Our Group Therapy Service | Louisville Mental Health Group: Mental Health Clinic In ... | Blogs | Our Services | Louisville Mental Health ... | Louisville Mental Health Group, Clinical Social Work ...",https://louisvillementalhealth.org/ | https://louisvillementalhealth.org/group-therapy/ | https://louisvillementalhealth.org/blogs/ | https://louisvillementalhealth.org/our-services/ | https://www.psychologytoday.com/us/therapists/louisville-mental-health-group-louisville-ky/1309075
group therapy Louisville KY,organic_mobile_depth100,3,5,Louisville Mental Health Group | Our Group Therapy Service | Louisville Mental Health Group: Mental Health Clinic In Louisville | Blogs | Our Services | Louisville Mental Health ...,https://louisvillementalhealth.org/ | https://louisvillementalhealth.org/group-therapy/ | https://louisvillementalhealth.org/blogs/ | https://louisvillementalhealth.org/our-services/
in home therapy Louisville KY,organic_desktop_depth100,25,2,"Louisville Mental Health Group: Mental Health Clinic In ... | Compassionate Mental Health Services in Louisville, KY",https://louisvillementalhealth.org/ | https://louisvillementalhealth.org/louisville-ky/
in home therapy Louisville KY,organic_mobile_depth100,83,1,"Compassionate Mental Health Services in Louisville, KY",https://louisvillementalhealth.org/louisville-ky/
individual therapy Louisville KY,organic_desktop_depth100,21,1,Individual Therapy,https://louisvillementalhealth.org/individual-therapy/
individual therapy Louisville KY,organic_mobile_depth100,20,1,Individual Therapy,https://louisvillementalhealth.org/individual-therapy/
mental health case management Louisville KY,organic_desktop_depth100,1,1,Case Management,https://louisvillementalhealth.org/case-management/
mental health case management Louisville KY,organic_mobile_depth100,4,3,Case Management | Louisville Mental Health Group: Mental Health Clinic In Louisville | Our Services | Louisville Mental Health ...,https://louisvillementalhealth.org/case-management/ | https://louisvillementalhealth.org/ | https://louisvillementalhealth.org/our-services/
mental health services Louisville KY,organic_desktop_depth100,17,4,"Louisville Mental Health Group: Mental Health Clinic In ... | Compassionate Mental Health Services in Louisville, KY | Our Group Therapy Service",https://louisvillementalhealth.org/ | https://louisvillementalhealth.org/louisville-ky/ | https://louisvillementalhealth.org/group-therapy/
mental health services Louisville KY,organic_mobile_depth100,17,3,"Louisville Mental Health Group: Mental Health Clinic In Louisville | Compassionate Mental Health Services in Louisville, KY | Our Group Therapy Service",https://louisvillementalhealth.org/ | https://louisvillementalhealth.org/louisville-ky/ | https://louisvillementalhealth.org/group-therapy/
play therapy Louisville KY,organic_desktop_depth100,>100,0,,
play therapy Louisville KY,organic_mobile_depth100,>100,0,,
therapist Louisville KY,organic_desktop_depth100,21,1,Louisville Mental Health Group: Mental Health Clinic In ...,https://louisvillementalhealth.org/
therapist Louisville KY,organic_mobile_depth100,26,1,Louisville Mental Health Group: Mental Health Clinic In Louisville,https://louisvillementalhealth.org/
therapy Louisville KY,organic_desktop_depth100,20,1,Louisville Mental Health Group: Mental Health Clinic In ...,https://louisvillementalhealth.org/
therapy Louisville KY,organic_mobile_depth100,>100,0,,
trauma therapy Louisville KY,organic_desktop_depth100,>100,0,,
trauma therapy Louisville KY,organic_mobile_depth100,>100,0,,
